City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sola,-13.8833,167.55,81.27,83,75,0.0,VU,1675232012
84,ulaanbaatar,47.9077,106.8832,3.33,55,87,2.24,MN,1675232013
85,port macquarie,-31.4333,152.9167,80.89,68,6,9.53,AU,1675232014
86,geraldton,-28.7667,114.6,88.21,45,0,25.32,AU,1675232014
87,beckley,37.7782,-81.1882,33.67,97,100,5.75,US,1675231782
88,raton,36.9034,-104.4391,12.54,92,20,3.44,US,1675232016
89,shitanjing,39.2342,106.3439,23.79,21,46,4.88,CN,1675232016
90,sao filipe,14.8961,-24.4956,70.39,71,79,11.65,CV,1675231948
91,nizhnyaya tavda,57.6731,66.1725,22.32,93,93,7.02,RU,1675232017
92,ilulissat,69.2167,-51.1,-0.38,60,75,4.61,GL,1675232018
93,fort nelson,58.8053,-122.7002,0.99,81,100,9.22,CA,1675232018
94,asfi,32.2994,-9.2372,54.05,74,100,13.24,MA,1675232019
95,mar del plata,-38.0023,-57.5575,69.1,90,100,2.3,AR,1675232020
96,clonakilty,51.6231,-8.8706,43.81,77,100,15.84,IE,1675232020
97,mwanza,-2.5167,32.9,71.47,65,53,8.52,TZ,1675232021
98,vaini,-21.2,-175.2,82.56,83,75,9.22,TO,1675232022
99,naze,28.3667,129.4833,64.0,66,85,13.24,JP,1675231903
100,mehamn,71.0357,27.8492,31.91,86,75,16.11,NO,1675232023
101,butaritari,3.0707,172.7902,80.58,78,80,18.05,KI,1675231782
102,brownwood,31.7093,-98.9912,27.72,80,100,10.36,US,1675232024
103,meulaboh,4.1363,96.1285,84.94,60,86,5.57,ID,1675232025
104,saint george,37.1041,-113.5841,28.99,41,0,3.0,US,1675231925
105,beni,0.5,29.4667,73.11,48,74,1.12,CD,1675232026
106,pisco,-13.7,-76.2167,71.65,83,0,4.61,PE,1675232027
107,ahipara,-35.1667,173.1667,71.82,81,99,6.55,NZ,1675232028
